REPLACE_SITECODE,REPLACE_STATUS,REPLACEMENT_SITECODE,REPLACEMENT_STATUS,REPLACE_OSR,REPLACEMENT_OSR,MOVE_ORDERS
Roosendaal_020790,3,Roosendaal_180916,0,,,All
CNPEK,3,cn-Beijing,0,,,All
ae-Dubai,3,AEDXB,0,,,1234
Gateshead_023620,3,Gateshead_180958,0,,,ALL
Mar del Plata_175572,3,Buenos Aires_011521,0,Buenos Aires_011521_,Buenos Aires_011521,ALL
San Pedro de Poás_026718,3,METH_Sita Corp. Voice_2797397,0,,,123456
Leduc_175610,3,LEDUC,0,LEDUC_,LEDUC,34567
Charlotte_029481,3,Charlotte_175595,0,,,234567;3456787;340000
Germantown_191165,3,Germantown_034377,0,,,All
Makanda_176118,3,Makanda_006044,0,Makanda_006044_,Makanda_006044,
Le Rheu_039083,3,FR-L-166 - Le RHEU,0,,,All
Hitachi,3,05 Hitachi Data Spain,0,,,NONE
Pacé_040811,3,FR083 Fenwick - Bretagne Manutention,0,,,
Paderno Dugnano_046611,3,IT - Paderno Dugnano,0,,,All
